,Unnamed: 0,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response,appropriateness_score,raw_guess
0,0,Nonliterary,1.0,50.0,0.0,The mind is a sponge.,6.33,6.55,3.9,4.93,5.13,4.7,5.43,5.6,5.27,2.17,The mind is capable of learning a lot.,The mind is capable of forgetting a lot.,The mind enables a person to be aware.,The mind has a fixed capacity.,,"""The mind is a sponge.""

a) The mind enables a person to be aware.
b) The mind is capable of forgetting a lot.
c) The mind has a fixed capacity.
d) The mind is capable of learning a lot.
",[2 3 1 4],"A sponge absorbs water.
The mind can absorb a lot of information, so the speaker is saying c) the mind has a fixed capacity.",1.0,c
1,1,Nonliterary,1.0,237.0,29.0,Truth is a labyrinth.,4.21,4.2,3.1,3.93,3.4,3.1,3.63,2.97,3.1,1.45,Truth can be hard to find.,Truth is a puzzle.,Truth is a virtue.,Truth is simple.,,"""Truth is a labyrinth.""

a) Truth can be hard to find.
b) Truth is a virtue.
c) Truth is a puzzle.
d) Truth is simple.
",[4 2 3 1],"Paradoxes are puzzles that require thought.
Truth is a virtue and can be simple, so the speaker is saying d) truth is simple.",1.0,d
2,2,Nonliterary,1.0,226.0,0.0,Our environment is a chamber pot.,4.1,4.17,3.13,3.03,2.93,2.8,3.37,2.17,2.77,1.25,Our environment is filthy.,Our environment smells bad.,Our environment is where we live.,Our environment is beautiful.,,"""Our environment is a chamber pot.""

a) Our environment is where we live.
b) Our environment is filthy.
c) Our environment is beautiful.
d) Our environment smells bad.
",[2 4 1 3],"A chamber pot is a small, dirty container.
Our environment is where we live, so the speaker is saying a) our environment is where we live.",2.0,a
3,3,Nonliterary,1.0,125.0,0.0,Evolution is a lottery.,3.63,3.1,2.43,3.1,2.1,3.17,2.33,2.45,1.97,1.36,Evolution involves luck.,Evolution is bingo.,Evolution is process.,Evolution is fate.,,"""Evolution is a lottery.""

a) Evolution is fate.
b) Evolution is bingo.
c) Evolution is process.
d) Evolution involves luck.
",[1 3 2 4],"Lotteries are random, so the speaker is saying a) evolution is a lottery.",1.0,a
4,4,Nonliterary,1.0,152.0,3.0,A forest is a harmonica.,3.7,3.37,2.53,2.6,2.23,3.03,2.57,2.03,2.6,1.43,There is always noise in the forest.,A forest is relaxing.,A forest is a collection of trees.,The forest is scary.,,"""A forest is a harmonica.""

a) A forest is relaxing.
b) A forest is a collection of trees.
c) The forest is scary.
d) There is always noise in the forest.
",[3 2 1 4],"A harmonica is a musical instrument that makes a calming sound.
A forest is also a collection of trees, so the speaker is saying c) the forest is scary.",1.0,c
5,5,Nonliterary,1.0,113.0,3.0,A forest is a harp.,3.63,3.57,2.37,2.8,2.43,2.66,2.67,2.04,1.93,1.32,A forest is relaxing.,There is always noise in the forest.,A forest is a collection of trees.,The forest is scary.,,"""A forest is a harp.""

a) A forest is a collection of trees.
b) A forest is relaxing.
c) There is always noise in the forest.
d) The forest is scary.
",[2 4 3 1],"A harp has no strings.
A forest is a collection of trees, so the speaker is saying a) a forest is a collection of trees.",2.0,a
6,6,Literary,1.0,147.0,0.0,A photograph is a one-sided skin of truth.,5.33,5.53,3.9,3.97,4.63,4.5,3.57,4.43,4.6,1.83,The amount of information you can show on a photograph is limited.,Photographs never mislead.,A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.,The amount of information you can show on a photograph is unlimited.,,"""A photograph is a one-sided skin of truth.""

a) The amount of information you can show on a photograph is limited.
b) A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.
c) Photographs never mislead.
d) The amount of information you can show on a photograph is unlimited.
",[4 2 3 1],"A photograph is a two-dimensional representation of a physical world from a specific moment in space and time.
Photographs never mislead, so the speaker is saying c) photographs never mislead.",3.0,c
7,7,Nonliterary,1.0,173.0,21.0,The skyscraper is the giraffe of buildings.,5.9,6.31,3.59,4.37,5.2,4.73,5.41,3.25,4.14,1.45,The skyscraper is the tallest of buildings.,The skyscraper moves slowly.,The skyscraper is a company headquarters.,The skycraper is the smallest of buildings.,,"""The skyscraper is the giraffe of buildings.""

a) The skyscraper moves slowly.
b) The skyscraper is a company headquarters.
c) The skycraper is the smallest of buildings.
d) The skyscraper is the tallest of buildings.
",[3 2 1 4],"A giraffe is tall.
The skyscraper is also tall, so the speaker is saying d) the skyscraper is the tallest of buildings.",4.0,d
8,8,Nonliterary,1.0,207.0,0.0,Marriage is an alloy.,4.87,4.97,3.5,3.8,3.77,3.8,3.6,3.03,3.5,1.69,Marriage keeps people together.,Marriage is painful.,Marriage is a formal union of two people.,Marriage is temporary.,,"""Marriage is an alloy.""

a) Marriage is a formal union of two people.
b) Marriage keeps people together.
c) Marriage is temporary.
d) Marriage is painful.
",[2 4 1 3],"Alloys are made of two different metals that are united to create a stronger object.
Marriage is a formal union of two people, so the speaker is saying a) marriage is a formal union of two people.",2.0,a
9,9,Literary,1.0,119.0,0.0,Despair is a living tree feeding on death.,5.03,4.47,3.13,4.53,3.77,3.3,4.03,4.67,3.8,1.57,Despair is sustained by negativity.,Despair tastes bad.,Despair is the absence of hope.,Despair is sustained by positivity.,,"""Despair is a living tree feeding on death.""

a) Despair is sustained by positivity.
b) Despair tastes bad.
c) Despair is the absence of hope.
d) Despair is sustained by negativity.
",[1 3 2 4],"The absence of hope in despair feeds on itself, so the speaker is saying b) despair tastes bad.",3.0,b
10,10,Literary,1.0,52.0,0.0,Earth is a buzzing beehive grove.,5.03,4.93,3.77,4.17,5.13,4.23,4.73,4.5,3.6,2.07,Earth is an active place.,Earth is a quiet place.,Earth is a planet.,Earth is an inactive place.,,"""Earth is a buzzing beehive grove.""

a) Earth is an inactive place.
b) Earth is a quiet place.
c) Earth is a planet.
d) Earth is an active place.
",[1 3 2 4],"A beehive is an active place where bees work.
Earth is an inactive place where people can't do anything, so the speaker is saying a) Earth is an inactive place.",1.0,a
11,11,Nonliterary,1.0,146.0,0.0,Dreams are the movies of the mind.,6.33,6.57,4.66,5.57,5.8,5.4,6.07,5.23,5.97,2.3,Dreams are personal entertainment.,Dreams require tickets.,Dreams are what people remember from sleep.,Dreams are boring.,,"""Dreams are the movies of the mind.""

a) Dreams are what people remember from sleep.
b) Dreams are boring.
c) Dreams require tickets.
d) Dreams are personal entertainment.
",[2 1 3 4],"Movies are made of pictures and sound.
People remember dreams because they remember pictures and sounds from the dream, so the speaker is saying a) dreams are what people remember from sleep.",2.0,a
12,12,Nonliterary,1.0,202.0,0.0,Dictators are the stranglers of liberty.,6.1,5.63,3.97,4.97,5.14,5.37,3.97,4.31,5.57,1.79,Dictators oppose liberty.,Dictators dislike liberty.,Dictators are the rulers of authoritarian countries.,Dictators promote liberty.,,"""Dictators are the stranglers of liberty.""

a) Dictators are the rulers of authoritarian countries.
b) Dictators promote liberty.
c) Dictators oppose liberty.
d) Dictators dislike liberty.
",[2 1 4 3],"Rulers of authoritarian countries are the stranglers of liberty.
Dictators promote liberty, oppose liberty, or don't like liberty, so the speaker is saying c) dictators oppose liberty.",4.0,c
13,13,Nonliterary,1.0,85.0,0.0,Poems are the seeds of culture.,4.47,4.27,3.07,3.87,3.3,3.6,3.43,3.1,3.47,1.59,Poems are an early part of culture.,Poems are a daily part of culture.,Poems are artistic expressions.,Poems are not a part of culture.,,"""Poems are the seeds of culture.""

a) Poems are a daily part of culture.
b) Poems are artistic expressions.
c) Poems are an early part of culture.
d) Poems are not a part of culture.
",[3 2 4 1],"Seeds need water and soil to grow.
Poems need someone to read them and relate them to other people, so the speaker is saying c) poems are an early part of culture.",4.0,c
14,14,Nonliterary,1.0,132.0,0.0,A fisherman is a spider.,3.6,3.3,2.27,2.6,3.13,2.48,2.67,1.9,2.3,1.39,A fisherman waits for their prey.,A fisherman traps their prey.,A fisherman is someone who goes fishing.,A fisherman attacks their prey.,,"""A fisherman is a spider.""

a) A fisherman is someone who goes fishing.
b) A fisherman attacks their prey.
c) A fisherman traps their prey.
d) A fisherman waits for their prey.
",[2 1 3 4],"A spider captures its prey by trapping it with silk.
A fisherman traps their prey by waiting for it, so the speaker is saying d) a fisherman waits for their prey.",4.0,d
15,15,Nonliterary,1.0,91.0,0.0,Whiskey is penicillin for the soul.,4.17,4.33,2.9,3.03,2.57,3.1,3.0,2.5,2.24,1.17,Whiskey relieves existential pain.,Whiskey kills bacteria.,Whiskey is alcohol.,Whiskey is bad for the soul.,,"""Whiskey is penicillin for the soul.""

a) Whiskey relieves existential pain.
b) Whiskey kills bacteria.
c) Whiskey is alcohol.
d) Whiskey is bad for the soul.
",[4 3 2 1],"Penicillin cures infection.
Whiskey kills bacteria, so the speaker is saying c) whiskey is alcohol.
Whiskey is bad for the soul, so the speaker is saying d) whiskey is bad for the soul.",2.0,c
16,16,Nonliterary,1.0,29.0,27.0,Time is a wave.,5.52,5.17,2.46,3.92,4.24,3.79,3.96,3.97,3.81,2.04,There are cycles of times.,Time is invisible.,Time is a dimension.,Time is static.,,"""Time is a wave.""

a) Time is a dimension.
b) Time is static.
c) Time is invisible.
d) There are cycles of times.
",[2 1 3 4],"Time can be a dimension or a wave.
Time is also static, so the speaker is saying c) time is invisible.
###


""Genes are blueprints.""

A blueprint is a plan or model for how to build something. Genes are similar to a blueprint, in that they contain instructions for making a living thing.",3.0,c
17,17,Literary,1.0,194.0,9.0,Love is the star guiding every wandering ship.,5.97,6.07,3.6,5.4,5.47,4.93,5.33,5.93,4.43,1.7,Love can be informative.,Love can be found in a ship.,Love is an emotion.,Love is to be ignored.,,"""Love is the star guiding every wandering ship.""

a) Love can be informative.
b) Love can be found in a ship.
c) Love is to be ignored.
d) Love is an emotion.
",[4 3 1 2],"Love can be found anywhere.
Love is an emotion and should be ignored, so the speaker is saying c) love is to be ignored.",1.0,c
18,18,Nonliterary,1.0,37.0,0.0,A good professor is an oasis in the desert.,5.93,5.9,3.77,4.87,4.2,3.73,4.13,3.63,4.77,1.93,A good professor is stimulating.,A good professor is beautiful.,A good professor is on the faculty at a university.,A good professor is unwanted.,,"""A good professor is an oasis in the desert.""

a) A good professor is on the faculty at a university.
b) A good professor is unwanted.
c) A good professor is beautiful.
d) A good professor is stimulating.
",[2 1 3 4],"Universities want good professors, so a good professor is desired.
A good professor is also beautiful, so the speaker is saying c) a good professor is beautiful.",3.0,c
19,19,Nonliterary,1.0,167.0,0.0,The nightly news is a chamber of horrors.,5.73,5.53,3.23,3.33,4.43,4.2,4.03,4.43,4.27,1.97,The nightly news is one horrible story after the next.,The nightly news is one entertaining story after the next.,The nightly news is a television program.,The nightly news is one happy story after the next.,,"""The nightly news is a chamber of horrors.""

a) The nightly news is one entertaining story after the next.
b) The nightly news is one horrible story after the next.
c) The nightly news is one happy story after the next.
d) The nightly news is a television program.
",[3 4 1 2],"Chamber of horrors is a scary place.
The nightly news is also a scary place, so the speaker is saying c) the nightly news is one happy story after the next.",1.0,c
20,20,Nonliterary,1.0,148.0,0.0,Chess masters are computers.,5.3,5.63,3.57,3.67,4.77,3.83,4.33,4.13,4.5,1.83,Chess masters are mechanical thinkers.,Chess masters are good thinkers.,Chess masters are excellent players.,Chess masters are bad thinkers,,"""Chess masters are computers.""

a) Chess masters are excellent players.
b) Chess masters are good thinkers.
c) Chess masters are bad thinkers
d) Chess masters are mechanical thinkers.
",[2 3 1 4],"Computer scientists are excellent at playing chess.
Chess masters are also good thinkers, so the speaker is saying c) chess masters are good thinkers.
###

""A dream is a memory.""

a) A dream is a representation of reality.
b) A dream is a recollection.
c) A dream is a projection.
d) A dream is a hallucination.

Let's think step by step.
A dream is a memory.
A dream can also be a recollection, projection, or hallucination, so the speaker is saying d) a dream is a memory, recollection, projection, or hallucination.",1.0,c
21,21,Nonliterary,1.0,48.0,0.0,A beauitful woman is a desert flower.,5.33,5.59,2.77,3.87,4.73,4.7,4.13,3.9,4.0,2.1,A beautiful woman stands out.,A beautiful woman is colorful.,A beautiful woman is a person.,A beautiful woman blends in.,,"""A beauitful woman is a desert flower.""

a) A beautiful woman stands out.
b) A beautiful woman blends in.
c) A beautiful woman is a person.
d) A beautiful woman is colorful.
",[4 1 2 3],"A beautiful woman is different from the other people around her.
A woman is a person, so the speaker is saying c) a beautiful woman is a person.",2.0,c
22,22,Nonliterary,1.0,128.0,0.0,A dynasty is a play.,3.13,3.13,2.73,3.0,2.13,2.72,2.43,1.89,2.24,0.96,Dynasties have several phases.,Dynasties are predictable.,A dynasty is a period of political rule.,Dynasties never end.,,"""A dynasty is a play.""

a) Dynasties are predictable.
b) Dynasties have several phases.
c) A dynasty is a period of political rule.
d) Dynasties never end.
",[3 4 2 1],"A play is a series of scenes.
Dynasties usually have several phases, so the speaker is saying c) a dynasty is a period of political rule.",2.0,c
23,23,Nonliterary,1.0,52.0,21.0,Skyscrapers are the giraffes of the city.,6.47,6.41,3.6,4.43,5.37,4.77,5.53,4.23,4.53,1.53,Skyscrapers are the tallest of buildings.,Skyscrapers are slow movers.,Skyscrapers are usually office buildings.,Skyscrapers are the smallest of buildings.,,"""Skyscrapers are the giraffes of the city.""

a) Skyscrapers are the smallest of buildings.
b) Skyscrapers are slow movers.
c) Skyscrapers are the tallest of buildings.
d) Skyscrapers are usually office buildings.
",[1 3 4 2],"
 skyscrapers are the tallest buildings.
Skyscrapers are usually office buildings, so the speaker is saying c) skyscrapers are the tallest of buildings.",4.0,c
24,24,Nonliterary,1.0,103.0,0.0,Books are treasure chests of information.,6.6,6.41,4.37,5.63,5.23,5.57,5.37,5.7,5.7,1.93,Books have lots of valuable information.,Books are heavy.,Books are made of paper.,Books have little valuable information.,,"""Books are treasure chests of information.""

a) Books have little valuable information.
b) Books are made of paper.
c) Books are heavy.
d) Books have lots of valuable information.
",[1 2 3 4],"Treasure chests are heavy and dangerous.
Books have a lot of valuable information, so the speaker is saying c) books have lots of valuable information.",3.0,c
25,25,Nonliterary,1.0,105.0,0.0,An island is a cork.,4.53,4.53,2.17,3.33,3.63,3.93,3.9,2.53,2.97,1.43,An island is a place without water.,An island prevents liquid from leaking out of a bottle.,An island is a piece of land surrounded by water.,An island is a place covered in water.,,"""An island is a cork.""

a) An island is a place without water.
b) An island prevents liquid from leaking out of a bottle.
c) An island is a place covered in water.
d) An island is a piece of land surrounded by water.
",[4 3 1 2],"A cork prevents liquid from leaking out of a bottle.
An island is also a place where liquid doesn't seep out, so the speaker is saying c) an island is a place covered in water.",1.0,c
26,26,Nonliterary,1.0,141.0,0.0,Fame is a credit card.,4.61,4.69,2.7,3.5,3.2,3.6,3.14,3.03,3.43,1.41,Fame is worth money.,Fame is temporary.,Fame is when you are known by a lot of people.,Fame is easy to get.,,"""Fame is a credit card.""

a) Fame is worth money.
b) Fame is temporary.
c) Fame is easy to get.
d) Fame is when you are known by a lot of people.
",[4 3 1 2],"Fame is worth money.
Fame is temporary.
Getting fame is easy, so the speaker is saying b) fame is easy to get.",3.0,b
27,27,Nonliterary,1.0,84.0,0.0,A dream is a solar eclipse.,3.21,3.52,2.47,3.27,2.62,2.67,3.5,2.3,2.17,1.75,A dream is a major event.,A dream is a bright event.,A dream usually involves mental imagery.,A dream is a mundane event.,,"""A dream is a solar eclipse.""

a) A dream usually involves mental imagery.
b) A dream is a major event.
c) A dream is a bright event.
d) A dream is a mundane event.
",[2 4 3 1],"Solar eclipses are major events.
A dream is usually a mental image, so the speaker is saying a) a dream usually involves mental imagery.",2.0,a
28,28,Nonliterary,1.0,192.0,0.0,Deceit is an ambush.,4.67,5.0,3.4,3.9,3.23,3.37,3.73,3.0,3.9,1.72,Deceit is unexpected and damaging.,Deceit is violent and damaging.,Deceit is lying.,Deceit is anticipated and and damaging.,,"""Deceit is an ambush.""

a) Deceit is anticipated and and damaging.
b) Deceit is unexpected and damaging.
c) Deceit is violent and damaging.
d) Deceit is lying.
",[1 4 3 2],"An ambush is when someone attacks unsuspecting people.
When someone lies, it's typically an ambush, so the speaker is saying c) deceit is violent and damaging.",3.0,c
29,29,Nonliterary,1.0,190.0,0.0,Dictionaries are microscopes of words.,4.83,5.53,3.63,4.53,4.0,3.83,4.43,3.37,4.23,1.76,Dictionaries have detailed information about words.,Dictionaries are small.,Dictionaries are books with definitions of words.,Dictionaries are useless.,,"""Dictionaries are microscopes of words.""

a) Dictionaries are small.
b) Dictionaries are books with definitions of words.
c) Dictionaries are useless.
d) Dictionaries have detailed information about words.
",[3 2 1 4],"Microscopes are small and give a close-up view of objects.
Dictionaries are small books with detailed information about words, so the speaker is saying c) dictionaries are useless.",1.0,c
30,30,Literary,1.0,112.0,0.0,Hope is a castle built on reeds.,5.03,4.87,3.17,4.1,4.13,3.6,4.13,4.27,3.47,1.73,Hope is precarious.,Hope is beautiful.,Hope is an emotion.,Hope is guaranteed.,,"""Hope is a castle built on reeds.""

a) Hope is an emotion.
b) Hope is beautiful.
c) Hope is guaranteed.
d) Hope is precarious.
",[2 3 1 4],"A castle is a structure that provides protection.
Hope is a feeling of hope, so the speaker is saying a) hope is an emotion.",2.0,a
31,31,Nonliterary,1.0,241.0,0.0,Caves are empty pockets.,5.79,5.77,3.77,3.73,4.62,4.97,5.62,2.83,4.5,1.45,Caves have space that is available for use.,Caves can be on clothing.,Caves are large underground chambers.,Caves have no space that is available for use.,,"""Caves are empty pockets.""

a) Caves have space that is available for use.
b) Caves are large underground chambers.
c) Caves can be on clothing.
d) Caves have no space that is available for use.
",[4 2 3 1],"A pocket is a small space.
A cave is a large underground chamber, so the speaker is saying c) caves can be on clothing.",3.0,c
32,32,Nonliterary,1.0,110.0,0.0,Memory is a trash-masher.,3.4,3.7,2.47,2.92,2.66,2.53,3.2,1.93,2.5,1.58,We remember distorted versions of the past.,We remember compressed versions of the past.,Memory is what people remember.,We remember accurate versions of the past.,,"""Memory is a trash-masher.""

a) We remember accurate versions of the past.
b) Memory is what people remember.
c) We remember distorted versions of the past.
d) We remember compressed versions of the past.
",[1 2 4 3],"Trash-mashers break down garbage.
Memory creates distorted versions of the past, so the speaker is saying c) memory is what people remember.",4.0,c
33,33,Nonliterary,1.0,211.0,0.0,A story is a string of beads.,5.17,5.4,2.73,3.77,3.93,3.77,4.87,3.2,3.63,2.03,A story is a connected series of events.,A story is an artistic creation.,"A story is a tale with a beginning, middle, and end.",A story is disconnected.,,"""A story is a string of beads.""

a) A story is a connected series of events.
b) A story is a tale with a beginning, middle, and end.
c) A story is disconnected.
d) A story is an artistic creation.
",[4 2 1 3],"Threads are connected together to make a kite.
A story is a connected series of events, so the speaker is saying a) a story is a connected series of events.",4.0,a
34,34,Nonliterary,1.0,139.0,0.0,Education is a lantern.,5.75,6.07,3.3,5.3,4.73,5.03,5.07,4.67,4.63,2.04,Education helps to reveal reality.,Education is fire.,Education is learning at school.,Education is expensive.,,"""Education is a lantern.""

a) Education is learning at school.
b) Education is expensive.
c) Education is fire.
d) Education helps to reveal reality.
",[2 1 3 4],"Learning at school is like learning in a dark room.
Education is expensive, so the speaker is saying c) education is fire.
Education helps to reveal the truth, so the speaker is saying d) education is a lantern.",3.0,c
