,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,QUD_rationale,QUD_v2_rationale,QUD_v3_rationale,similarity_rationale,contrast_rationale,non_explanation_rationale
0,Nonliterary,1.0,119.0,0.0,An idea is a kettle on the stove.,4.27,4.93,2.9,3.8,3.17,3.1,3.87,2.86,3.2,1.5,It takes time for an idea to be ready.,It takes water for an idea to be ready.,An idea is a thought.,Ideas are ready instantly.,,"""An idea is a kettle on the stove.""

a) It takes time for an idea to be ready.
b) An idea is a thought.
c) Ideas are ready instantly.
d) It takes water for an idea to be ready.
",[4 2 1 3],"The speaker is addressing the question ""How long does it take for an idea to be ready?""
A kettle on the stove takes a long time to be ready
So the speaker is saying that it takes time for an idea to be ready.
Therefore, the answer is a).","The speaker is addressing the question ""How long does it take for an idea to be ready?""
A kettle on the stove takes a long time to be ready
So the speaker is saying a) it takes time for an idea to be ready.","The speaker is addressing the question ""How long does it take for an idea to be ready?""
The speaker answers this question by comparing an idea to a kettle on the stove.
A kettle on the stove takes a long time to be ready, so the speaker is saying a) it takes time for an idea to be ready.","Kettles on the stove take a long time to be ready.
Ideas can also take a long time to be ready, so the speaker is saying a) it takes time for an idea to be ready.","An kettle on the stove takes time to be ready.
In contrast, an idea does not go through a physical process of preparation.
This contrast projects the property of taking time to be ready to an idea, so the speaker is saying a) it takes time for an idea to be ready.","People can have ideas at unexpected times.
The speaker is saying a) it takes time for an idea to be ready."
1,Nonliterary,1.0,111.0,0.0,Happiness is gold.,6.5,6.3,3.47,4.83,3.93,5.1,4.37,5.03,4.37,2.15,Happiness is valuable.,Happiness is shiny.,Happiness is an emotion.,Happiness is irrelevant.,,"""Happiness is gold.""

a) Happiness is shiny.
b) Happiness is irrelevant.
c) Happiness is an emotion.
d) Happiness is valuable.
",[3 1 2 4],"The speaker is addressing the question ""How valuable is happiness?""
Gold is very valuable.
So the speaker is saying that happiness is valuable.
Therefore, the answer is d).","The speaker is addressing the question ""How valuable is happiness?""
Gold is very valuable.
So the speaker is saying d) happiness is valuable.","The speaker is addressing the question ""How valuable is happiness?""
The speaker answers this question by comparing happiness to gold.
Gold is very valuable, so the speaker is saying d) happiness is valuable.","Gold is valuable.
Happiness can also be valuable, so the speaker is saying d) happiness is valuable.","Gold is valuable.
In contrast, happiness is intangible and it is unclear how to assess its value.
This contrast projects the property of being valuable to happiness, so the speaker is saying d) happiness is valuable.","Smiling is a common way to express happiness.
The speaker is saying d) happiness is valuable."
2,Nonliterary,1.0,133.0,0.0,A lottery is a rich uncle.,3.96,4.93,3.07,3.5,3.03,3.62,3.73,2.71,2.6,1.16,A lottery is wealth that seems accessible but may not be.,A lottery is wealth that is easily accessible.,A lottery is a gambling game.,A lottery is wealth that seems hard to get but is actually easy.,,"""A lottery is a rich uncle.""

a) A lottery is wealth that is easily accessible.
b) A lottery is a gambling game.
c) A lottery is wealth that seems hard to get but is actually easy.
d) A lottery is wealth that seems accessible but may not be.
",[3 2 1 4],"The speaker is addressing the question ""How accessible is wealth from a lottery?""
A rich uncle might provide easily accessible wealth, but also might not.
So the speaker is saying that a lottery is wealth that seems accessible but may not be.
Therefore, the answer is d).","The speaker is addressing the question ""How accessible is wealth from a lottery?""
A rich uncle might provide easily accessible wealth, but also might not.
So the speaker is saying d) a lottery is wealth that seems accessible but may not be.","The speaker is addressing the question ""How accessible is wealth from a lottery?""
The speaker answers this question by comparing wealth to a rich uncle.
A rich uncle might provide easily accessible wealth, but also might not, so the speaker is saying d) a lottery is wealth that seems accessible but may not be.","A rich uncle provides wealth that seems accessible, but may not actually be.
A lottery promises to provide wealth, but winning is very unlikely, so the speaker is saying d) a lottery is wealth that seems accessible but may not be.",???,???
3,Nonliterary,1.0,9.0,0.0,A storm is a coffeepot.,3.44,4.0,2.19,2.8,3.03,2.28,3.35,2.1,2.37,1.69,A storm is dark.,A storm is hot.,A storm is a disturbed state of the environment.,A storm is clear.,,"""A storm is a coffeepot.""

a) A storm is a disturbed state of the environment.
b) A storm is dark.
c) A storm is clear.
d) A storm is hot.
",[2 4 1 3],"The speaker is addressing the question ""How dark is a storm?""
A coffeepot is very dark.
 So the speaker is saying that a storm is dark.
Therefore, the answer is b).","The speaker is addressing the question ""How dark is a storm?""
A coffeepot is very dark.
 So the speaker is saying b) a storm is dark.","The speaker is addressing the question ""How dark is a storm?""
The speaker answers this question by comparing a storm to a coffeepot.
A coffeepot is very dark, so the speaker is saying b) a storm is dark.","A coffeepot is dark.
Storms can also be dark, so the speaker is saying b) a storm is dark.",???,???
4,Nonliterary,1.0,210.0,25.0,The wind is an arrow.,4.83,4.97,2.43,3.2,3.53,3.8,3.43,2.53,2.9,1.55,The wind goes straight and fast.,The wind is painful.,The wind is air that blows.,The wind goes in circles.,,"""The wind is an arrow.""

a) The wind goes straight and fast.
b) The wind is air that blows.
c) The wind goes in circles.
d) The wind is painful.
",[4 2 1 3],"The speaker is addressing the question ""How does the wind travel?""
An arrow travels straight and fast.
So the speaker is saying the wind goes straight and fast.
Therefore, the answer is a).","The speaker is addressing the question ""How does the wind travel?""
An arrow travels straight and fast.
So the speaker is saying a) the wind goes straight and fast.","The speaker is addressing the question ""How does the wind travel?""
The speaker answers this question by comparing the wind to an arrow.
An arrow travels straight and fast, so the speaker is saying a) the wind goes straight and fast.","An arrow travels straight and fast.
The wind can also travel straight and fast, so the speaker is saying that the wind goes straight and fast.",???,???
5,Literary,1.0,137.0,1.0,Time is a transforming chisel.,5.23,5.5,3.53,4.0,4.43,3.37,4.0,4.83,3.77,2.07,Things change over time.,Time is strong.,Time is continued progress of existence.,Nothing changes over time.,,"""Time is a transforming chisel.""

a) Time is strong.
b) Things change over time.
c) Nothing changes over time.
d) Time is continued progress of existence.
",[3 4 1 2],"The speaker is addressing the question ""How does time affect things?""
A transforming chisel changes things.
So the speaker is saying that things change over time.
Therefore, the answer is b).","The speaker is addressing the question ""How does time affect things?""
A transforming chisel changes things.
So the speaker is saying b) things change over time.","The speaker is addressing the question ""How does time affect things?""
The speaker answers this question by comparing time to a transforming chisel.
A transforming chisel changes things, so the speaker is saying b) things change over time.","A transforming chisel changes things when used.
Time can also cause things to change, so the speaker is saying b) things change over time.","A transforming chisel changes things.
In contrast, time is not an agent or tool that can directly change things.
This contrast projects the property of changing things to time, so the speaker is saying b) things change over time.","Time can be measured in minutes.
The speaker is saying b) things change over time."
6,Nonliterary,1.0,58.0,14.0,Criticism is a branding iron.,4.9,5.28,3.2,4.03,4.07,3.8,4.33,3.57,3.69,1.79,Criticism is painful.,Criticism is hot.,Criticism is a kind of feedback.,Criticism is fun to hear.,,"""Criticism is a branding iron.""

a) Criticism is fun to hear.
b) Criticism is a kind of feedback.
c) Criticism is hot.
d) Criticism is painful.
",[1 2 3 4],"The speaker is addressing the question ""How does criticism feel?""
A branding iron is very painful.
So the speaker is saying that criticism is painful.
Therefore, the answer is d).","The speaker is addressing the question ""How does criticism feel?""
A branding iron is very painful.
So the speaker is saying d) criticism is painful.","The speaker is addressing the question ""How does criticism feel?""
The speaker answers this question by comparing criticism to a branding iron.
A branding iron is very painful, so the speaker is saying d) criticism is painful.","Branding irons are extremely painful.
Criticism can also be painful, so the speaker is saying d) criticism is painful.","A branding iron is hot and physically painful.
In contrast, criticism is not physical and cannot create physical pain.
This contrast projects the property of being painful to criticism, so the speaker is saying d) criticism is painful.","People give criticism to point out flaws.
The speaker is saying d) criticism is painful."
7,Nonliterary,1.0,1.0,0.0,An ant is a bulldozer.,4.88,4.46,2.27,3.6,3.31,3.83,4.15,3.86,2.81,2.08,An ant can move a lot of dirt.,An ant is big.,An ant is an insect.,An ant is not very effective.,,"""An ant is a bulldozer.""

a) An ant is an insect.
b) An ant is not very effective.
c) An ant is big.
d) An ant can move a lot of dirt.
",[2 1 3 4],"The speaker is addressing the question ""How much dirt can an ant move?""
A bulldozer can move a lot of dirt
So the speaker is saying that an ant can move a lot of dirt.
Therefore, the answer is d).","The speaker is addressing the question ""How much dirt can an ant move?""
A bulldozer can move a lot of dirt
So the speaker is saying d) an ant can move a lot of dirt.","The speaker is addressing the question ""How much dirt can an ant move?""
The speaker answers this question by comparing an ant to a bulldozer.
A bulldozer can move a lot of dirt, so the speaker is saying d) an ant can move a lot of dirt.","A bulldozer moves a lot of dirt.
Ants can also move dirt, so the speaker is saying d) an ant can move a lot of dirt.",???,???
8,Literary,1.0,10.0,4.0,The wind is a wrestler.,5.5,5.37,3.57,4.4,5.0,4.43,4.63,4.47,3.43,2.07,The wind is strong and agile.,The wind is competing.,The wind is the natural movement of air.,The wind is soft and clumsy.,,"""The wind is a wrestler.""

a) The wind is the natural movement of air.
b) The wind is soft and clumsy.
c) The wind is competing.
d) The wind is strong and agile.
",[2 1 3 4],"The speaker is addressing the question ""How strong and agile is the wind?""
A wrestler is strong and agile
So the speaker is saying that the wind is strong and agile.
Therefore, the answer is d).","The speaker is addressing the question ""How strong and agile is the wind?""
A wrestler is strong and agile
So the speaker is saying d) the wind is strong and agile.","The speaker is addressing the question ""How strong and agile is the wind?""
The speaker answers this question by comparing the wind to a wrestler.
A wrestler is strong and agile, so the speaker is saying d) the wind is strong and agile.","A wrestler is strong and agile.
The wind can also be strong and agile, so the speaker is saying d) the wind is strong an agile.",???,???
9,Nonliterary,1.0,198.0,27.0,Time is a physician.,3.67,4.27,2.07,2.67,2.13,2.97,2.37,3.07,2.93,1.48,Many ailments like sickness and broken bones heal with time.,Many ailments like sickness and broken bones bring joy with time.,Time is a dimension.,Many ailments like sickness and broken bones get worse with time.,,"""Time is a physician.""

a) Many ailments like sickness and broken bones get worse with time.
b) Many ailments like sickness and broken bones bring joy with time.
c) Time is a dimension.
d) Many ailments like sickness and broken bones heal with time.
",[1 3 2 4],"The speaker is addressing the question ""How does time affect sicknesses and injuries?""
A physician heals wounds and sicknesses.
So the speaker is saying that many ailments like sickness and broken bones heal with time.
Therefore, the answer is d).","The speaker is addressing the question ""How does time affect sicknesses and injuries?""
A physician heals wounds and sicknesses.
So the speaker is saying d) many ailments like sickness and broken bones heal with time.","The speaker is addressing the question ""How does time affect sicknesses and injuries?""
The speaker answers this question by comparing time to a physician.
A physician heals wounds and sicknesses, so the speaker is saying d) many ailments like sickness and broken bones heal with time.","Physicians heal ailments.
Ailments like sicknesses and broken bones often heal over time, so the speaker is saying d) many ailments like sickness and broken bones heal over time.","A physician heals many ailments like sickness and broken bones.
In contrast, time is not a person and cannot literally treat ailments.
This contrasts projects the property of healing ailments to time, so the speaker is saying 4) many ailments like sickness and broken bones heal with time.","Clocks keep track of the time.
The speaker is saying d) many ailments like sickness and broken bones heal with time."
